"id","issueyear","genre","CelticRevival","Classics","Cuchulain","Fairies","Fiannana","Folklore","Gaeilge","Ghosts","Language","Literature","Meadhbh","Milesians","Newspapers","NiHoulihanKathleen","Poetry","Theatre","TuathadeDanann","AuthorM","AuthorF"
"30I",1930,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30R",1930,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31C",1931,"Essay",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"31Y",1931,"Review",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32H",1932,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32L",1932,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32M",1932,"Testimony",1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
"33S",1933,"Essay",0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
"34T",1934,"Essay",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
"35B",1935,"Essay",0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
"36E",1936,"Essay",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"38D",1938,"Testimony",0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"38I",1938,"Biography",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38K",1938,"Testimony",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"38M",1938,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"40V",1940,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"40W",1940,"Testimony",0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
"41C",1941,"Essay",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"41F",1941,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42F",1942,"Essay",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"42S",1942,"Essay",1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
"43AI",1943,"Testimony",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"43N",1943,"Testimony",0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"43P",1943,"Essay",0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
"44Q1",1944,"Poem",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"44T",1944,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"45B",1945,"Essay",0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"45C",1945,"Testimony",0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
"45K",1945,"Essay",0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
"45X",1945,"Essay",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"45Z",1945,"Essay",1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0
"45AA",1945,"Biography",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"48D",1948,"Essay",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"48X",1948,"Essay",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"48Y",1948,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"49D",1949,"Essay",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"49I16",1949,"Comments",1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
"49M",1949,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"49T",1949,"Essay",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
"50A",1950,"Fiction",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"50C",1950,"Essay",0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
"50K",1950,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"52D",1952,"Essay",1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0
"52J",1952,"Essay",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"53G",1953,"Essay",0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"53M",1953,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"58L",1958,"Fiction",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"58Q",1958,"Biography",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58S",1958,"Essay",0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"58U",1958,"Essay",0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0
"59B",1959,"Essay",0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
"59G",1959,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"59R",1959,"Testimony",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"59W",1959,"Testimony",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60A",1960,"Testimony",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61K",1961,"Biography",0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0
"62D",1962,"Testimony",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"62J",1962,"Essay",1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
"63D",1963,"Essay",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"63J",1963,"Essay",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"63K",1963,"Essay",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"63N",1963,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"64K",1964,"Essay",0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0
"64Q",1964,"Essay",0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0
"65E",1965,"Essay",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1
"67S",1967,"Essay",0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
"68H",1968,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"68X",1968,"Essay",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"68Z",1968,"Testimony",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"69K",1969,"Essay",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"69N",1969,"Essay",0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0
"70A",1970,"Essay",0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1
"70R",1970,"Testimony",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"71D",1971,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72I",1972,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72L",1972,"Essay",0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"72M",1972,"Essay",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72N",1972,"Essay",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"72O",1972,"Essay",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"72Q",1972,"Essay",0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"72S",1972,"Essay",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"73J",1973,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"74C",1974,"Biography",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"74Q",1974,"Essay",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"74S",1974,"Biography",1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0
"75M",1975,"Biography",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
"75Q",1975,"Essay",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"76A",1976,"Biography",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"76E",1976,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"76R",1976,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"77C",1977,"Fiction",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"77M",1977,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TOTAL","TOTAL","TOTAL",10,35,8,7,7,38,59,7,40,32,2,6,13,2,49,4,2,70,19
